s25           (Subject Code)
 1            (Counterbal Condition)
 5             16           (Map: Phys to Log cues for each task)
weather       (Task Format)
AnoF          (Task Condition)
Training data (trial/4 log cues/outcome/[resp corr?/rtime])
    1 1 0 0 0 0
    2 0 0 1 1 0
    3 1 0 0 0 1
    4 0 0 1 0 1
    5 0 0 1 0 0
    6 0 0 1 0 1
    7 0 1 1 1 0
    8 0 0 0 1 0
    9 1 0 1 1 0
   10 0 0 1 0 0
   11 0 0 0 1 0
   12 1 1 0 1 1
   13 0 0 1 0 1
   14 1 0 0 1 0
   15 1 0 0 0 1
   16 0 1 0 0 1
   17 0 0 0 1 0
   18 1 0 1 0 1
   19 0 0 0 1 0
   20 0 1 0 0 0
   21 1 1 1 0 1
   22 1 0 1 1 1
   23 0 1 0 1 1
   24 0 1 0 0 0
   25 1 0 0 0 1
   26 0 0 1 1 0
   27 0 0 0 1 1
   28 1 0 1 0 1
   29 1 0 0 0 1
   30 0 1 0 0 1
   31 0 0 0 1 0
   32 1 1 0 0 1
   33 1 1 0 0 1
   34 1 0 1 0 0
   35 0 0 1 1 0
   36 0 0 1 0 0
   37 1 1 0 0 1
   38 0 1 1 0 0
   39 1 0 0 1 1
   40 0 1 0 1 0
   41 0 0 0 1 0
   42 0 0 1 1 0
   43 0 1 0 1 0
   44 0 1 1 0 0
   45 1 0 1 0 1
   46 1 0 0 0 1
   47 0 1 0 0 0
   48 1 0 0 0 1
   49 0 1 0 1 0
   50 0 1 0 0 1
   51 1 1 0 0 1
   52 1 1 0 1 0
Test data (trial/4 log cues/resp choice 1or2/rtime)
   53 0 1 0 0 2 10.505
   54 0 1 0 1 2 3.025
   55 0 1 1 1 1 1.298
   56 0 0 1 1 2 5.058
   57 1 0 1 1 1 2.916
   58 1 1 1 0 1 3.169
   59 0 1 1 0 1 1.752
   60 1 1 0 0 1 1.176
   61 1 1 0 1 2 0.900
   62 1 0 0 1 2 1.532
   63 0 0 0 1 2 1.887
   64 0 0 1 0 1 2.405
   65 1 0 0 0 1 1.252
   66 1 0 1 0 2 4.708
disease       (Task Format)
FnoA          (Task Condition)
Training data (trial/4 log cues/outcome/[resp corr?/rtime])
    1 1 0 1 0 0 0 8.571
    2 1 0 0 1 1 0 3.799
    3 1 1 0 0 1 1 2.902
    4 0 1 0 1 1 0 2.649
    5 1 1 0 1 1 1 5.013
    6 0 1 0 0 0 0 2.088
    7 0 1 1 0 1 0 3.105
    8 0 1 0 0 1 0 1.729
    9 0 1 0 1 0 0 1.452
   10 0 1 1 1 1 0 3.352
   11 1 1 0 1 1 1 2.294
   12 1 0 0 1 0 0 1.347
   13 0 0 1 1 0 1 2.020
   14 1 1 0 0 1 1 1.315
   15 0 0 1 1 0 1 1.591
   16 1 0 1 1 0 1 1.436
   17 1 1 0 0 1 1 1.024
   18 0 1 1 1 0 0 2.181
   19 0 0 0 1 1 0 0.806
   20 1 0 1 1 1 0 1.858
   21 1 0 0 0 1 1 1.346
   22 1 0 0 1 0 0 1.122
   23 0 0 1 0 1 0 2.401
   24 0 0 1 1 0 0 1.002
   25 1 1 1 0 0 1 2.902
   26 1 0 0 0 1 0 1.036
   27 0 1 1 1 0 1 1.273
   28 1 1 1 0 1 0 1.536
   29 1 0 1 1 0 1 0.927
   30 1 0 0 1 1 0 1.857
   31 0 0 1 1 0 1 1.059
   32 0 1 1 1 0 1 0.856
   33 1 0 0 0 0 0 1.392
   34 0 0 0 1 0 0 1.116
   35 0 1 0 1 0 0 1.671
   36 1 0 1 0 1 0 1.108
   37 0 1 1 0 0 1 1.336
   38 0 0 1 0 0 1 1.304
   39 0 0 1 0 0 1 0.673
   40 0 1 1 0 1 1 2.842
   41 1 0 1 0 0 1 1.225
   42 1 1 0 0 1 1 1.747
   43 0 1 1 0 0 0 1.570
   44 1 1 1 0 1 1 3.076
   45 1 0 1 0 1 0 1.958
   46 1 1 1 0 1 1 1.392
   47 0 0 0 1 0 0 2.665
   48 1 1 0 1 1 1 2.367
   49 1 1 0 1 0 0 0.849
   50 0 1 0 1 1 1 1.993
   51 0 1 0 0 1 1 5.610
   52 0 1 0 0 1 1 1.563
   53 1 0 0 0 1 1 1.391
   54 0 0 0 1 0 2 0.861
   55 1 0 1 1 0 1 3.223
   56 0 0 1 0 0 1 2.356
Test data (trial/4 log cues/resp choice 1or2/rtime)
   57 1 1 0 0 2 7.637
   58 0 1 0 0 1 3.548
   59 1 0 1 0 2 1.355
   60 0 0 1 0 2 1.053
   61 0 0 0 1 2 2.716
   62 1 1 0 1 1 1.660
   63 0 1 1 0 1 1.526
   64 0 1 0 1 1 1.569
   65 0 0 1 1 2 1.185
   66 1 0 1 1 2 1.655
   67 0 1 1 1 1 0.922
   68 1 0 0 0 2 2.327
   69 1 1 1 0 1 1.186
   70 1 0 0 1 1 2.627
